Title,P-ISSN,E-ISSN,Source Type,All Science Classification Codes (ASJC)
Medical Law International,09685332,,Journal,3308; 2700;
Medical Law Review,09670742,14643790,Journal,3308; 2701;
Medical Letter on Drugs and Therapeutics,0025732X,,Journal,2700;
Medical management network,10970835,,Journal,2700;
Medical Microbiology Letters,10184627,,Journal,2726;
Medical Mycology,13693786,14602709,Journal,2725; 3400;
Medical network strategy report,10793003,,Journal,2700;
Medical News of North Caucasus,20738137,,Journal,2700; 
Medical Principles and Practice,10117571,14230151,Journal,2700;
Medical Problems of Performing Artists,08851158,,Journal,2700;
Medical products sales : MPS : the official journal of the American Surgical Trade Association,02794802,,Journal,2700;
"Medical record (Reading, Pa.)",03630803,,Journal,2700;
Medical record and health care information journal,09505539,,Journal,2700;
Medical Reference Services Quarterly,02763869,15409597,Journal,2718; 3309;
Medical Research Engineering,00257508,,Journal,2200; 2700;
Medical Science Monitor,12341010,16433750,Journal,2700;
Medical science monitor basic research,23254394,23254416 ,Journal,2700; 
"Medical services journal, Canada",03689204,,Journal,2700;
Medical Staff News,8756680X,,Journal,2700;
Medical Teacher,0142159X,1466187X,Journal,3304; 2700;
Medical toxicology,01125966,,Journal,2700;
Medical Ultrasonography,20668643,18444172 ,Journal,3614; 3102; 2741; 
Medical Update for Psychiatrists,10827579,,Journal,2738;
Medical waste analyst,10726039,,Journal,2700;
Medical woman's journal,00966819,,Journal,2700;
"Medicamento, historia e sociedade",08722323,,Journal,2700;
MedicaMundi,00257664,,Journal,2741; 3614;
Medicare and Medicaid Research Review,21590354,,Journal,2719; 
Medicare brief / National Academy of Social Insurance,,,Journal,2700;
MEDICC Review,15557960,15273172 ,Journal,2700;
Medicina,00257680,,Journal,2700;
Medicina,00257729,,Journal,2700;
Medicina,00766046,,Journal,2700;
"Medicina (Kaunas, Lithuania)",1010660X,16489144,Journal,2700;
Medicina Clinica,00257753,,Journal,2700;
Medicina Clinica e Termale,11239395,,Journal,2742;
Medicina Clinica Monografias,15771512,,Journal,2700;
Medicina Cutanea Ibero-Latino-Americana,02105187,,Journal,2708;
Medicina del Lavoro,00257818,,Journal,2739;
Medicina dello Sport,00257826,,Journal,2732; 3612;
Medicina e historia,03008169,,Journal,2700;
Medicina e Storia,17222206,18286224 ,Journal,1207; 1202; 2701; 
Medicina et pharmacologia experimentalis. International journal of experimental medicine,05433002,,Journal,2700;
Medicina experimentalis. International journal of experimental medicine,02582589,,Journal,2700;
Medicina Fluminensis,18476864,,Journal,2700;
Medicina Intensiva,02105691,15786749,Journal,2706;
Medicina Interna,12205818,,Journal,2700;
Medicina Interna de Mexico,01864866,,Journal,2724;
Medicina Naturista,15763080,,Journal,2707; 3612; 3602;
Medicina nei secoli,03949001,,Journal,2700;
Medicina Oral,11372834,,Journal,3500;
"Medicina Oral, Patologia Oral y Cirugia Bucal",16984447,16986946,Journal,3500; 2733; 2746;
Medicina Paliativa,1134248X,,Journal,2703; 2900; 2700;
Medicina Preventiva,11352841,,Journal,2739;
Medicina thoracalis,03689220,,Journal,2700;
Medicina Veterinaria,02128292,,Journal,3400;
Medicinal Chemistry,15734064,,Journal,2700;
Medicine,03045412,,Journal,2700;
Medicine,00257974,,Journal,2700;
Medicine,13573039,,Journal,2700;
Medicine & health,15489825,,Journal,2700;
"Medicine and health, Rhode Island",10865462,,Journal,2700;
Medicine and Law,07231393,,Journal,2719; 3308;
Medicine and science in sports,00257990,,Journal,2700;
Medicine and Science in Sports and Exercise,01959131,,Journal,2732; 3612;
Medicine and Sport Science,02545020,,Journal,2732; 3612;
Medicine and war,07488009,,Journal,2700;
Medicine illustrated,0266982X,,Journal,2700;
Medicine of the Americas,15313069,,Journal,2700;
Medicine Studies,18764533,18764541 ,Journal,2700;
Medicine Today,1443430X,,Journal,2700;
"Medicine, conflict, and survival",13623699,,Journal,2700;
"Medicine, Healthcare and Philosophy",13867423,15728633,Journal,3304; 3306; 2719;
"Medicine, Science and the Law",00258024,,Journal,2910; 2719; 3308;
Medicinsk Forum,00258040,,Journal,2700;
Medicinska Etika A Bioetika,13350560,,Journal,2700;
Medicinski Arhiv,0350199X,,Journal,2700;
Medicinski Casopis,03501221,,Journal,2700;
Medicinski Glasnik,00258091,,Journal,2700;
Medicinski pregled,00258105,,Journal,2700;
Medico Boehringer: overseas ed,,,Journal,2700;
Medico e Bambino,15913090,,Journal,2735;
Medico; international ed,,,Journal,2700;
Medico-Legal Journal,00258172,,Journal,2700;
Medicolegal news,00970085,,Journal,2700;
Medico-Legal Update,0971720X,,Journal,2734;
Medicus,1330013X,,Journal,2700;
Medicus,14507994,18201776,Journal,2700;
Medieval Archaeology,00766097,1745817X ,Journal,3302; 1202; 1204;
Medieval Encounters,13807854,,Journal,3310; 1203; 1202; 1212; 3316;
Medieval History Journal,09719458,,Journal,1202;
Medieval Philosophy and Theology,10570608,,Journal,1202; 1212; 1211;
Medieval Sermon Studies,13660691,17496276 ,Journal,1208; 1212; 
Medievalia et Humanistica,00766127,,Journal,1202; 1211; 1213; 1208;
MEDIFAM - Revista de Medicina Familiar y Comunitaria,11315768,,Journal,2739; 2700;
Medijska istrazivanja,13306928,,Journal,3315; 3312; 
Medijske Studije,18479758,18485030,Journal,3315; 1706; 
Medinfo. MEDINFO,15696332,,Journal,2700;
Medioevo Romanzo,03900711,17241707 ,Journal,1208; 3310; 1203; 
Mediterranea: Ricerche Storiche,18243010,1828230X ,Journal,1202; 
Mediterranean Archaeology and Archaeometry,11089628,,Journal,3302; 1204;
Mediterranean Historical Review,09518967,1743940X ,Journal,1200;
Mediterranean Journal of Hematology and Infectious Diseases,20353006,,Journal,2725; 2720;
Mediterranean Journal of Infectious and Parasitic Diseases,11276126,,Journal,2726;
Mediterranean Journal of Mathematics,16605446,16605454,Journal,2600;
Mediterranean Journal of Measurement and Control,17439310,,Journal,3105; 2207;
Mediterranean Journal of Otology,13055267,,Journal,2733;
Mediterranean Journal of Pacing and Electrophysiology,11284293,,Journal,2705; 2737;
Mediterranean Quarterly,10474552,15271935,Journal,3320; 3305;
Mediterranean Studies,1074164X,,Journal,3312; 3316; 1200;
Mediterranee,00258296,17608538 ,Journal,1901; 3322; 3305; 
Mediterranee Medicale,03029263,,Journal,2300; 1900;
Mediterraneo Antico,11276061,,Journal,1202; 1205; 
Meditsina truda i promyshlennaia ekologiia,10269428,,Journal,2700;
Meditsinskaya Radiologiya i Radiatsionnaya Bezopasnost,10246177,,Journal,2104;
Meditteranean Politics,13629395,,Journal,3320; 3305;
Medium Aevum,00258385,,Journal,3310; 1203; 1208;
"Medizin, Gesellschaft, und Geschichte. Beiheft : Jahrbuch des Instituts für Geschichte der Medizin der Robert Bosch Stiftung",0939351X,,Journal,2700;
Medizinhistorisches Journal,00258431,,Journal,1207; 2701;
Medizinische Ausbildung,01764772,,Journal,2739;
Medizinische Dokumentation,04655036,,Journal,2700;
Medizinische Klinik,07235003,,Journal,2700;
Medizinische Klinik - Intensivmedizin und Notfallmedizin,21936218,21936226 ,Journal,2700;
Medizinische Klinik (Klinik-Ausg.),07229321,,Journal,2700;
Medizinische Klinik (Praxis-Ausg.),0722933X,,Journal,2700;
Medizinische Monatsschrift für Pharmazeuten,03429601,,Journal,2736;
Medizinische Technik,00258504,,Journal,2700;
Medizinrecht,07238886,,Journal,2910; 2719;
Medizintechnik,03449416,,Journal,2701;
Medscape journal of medicine,19341997,,Journal,2700;
Medscape women's health [electronic resource],15212076,,Journal,2739; 2700;
Medsurg nursing : official journal of the Academy of Medical-Surgical Nurses,10920811,,Journal,2700;
Medwave,07176384,,Journal,2700; 
Medycyna doswiadczalna,00258598,,Journal,2700;
Medycyna Doswiadczalna i Mikrobiologia,00258601,,Journal,2726;
Medycyna Intensywna i Ratunkowa,15064077,,Journal,2711; 2706;
"Medycyna nowozytna : studia nad historia medycyny / Polska Akademia Nauk, Instytut Historii Nauki",12311960,,Journal,2700;
Medycyna Paliatywna w Praktyce,18980678,,Journal,2700;
Medycyna Pracy,04655893,,Journal,2739;
Medycyna Weterynaryjna,00258628,,Journal,3400;
Medycyna wieku rozwojowego,1428345X,,Journal,2700;
Medziagotyra,13921320,,Journal,2500;
Meikai Daigaku shigaku zasshi = The Journal of Meikai University School of Dentistry,09160701,,Journal,2700;
Meitan Xuebao/Journal of the China Coal Society,02539993,,Journal,1909; 2102; 2210; 2208; 2103;
Meitiandizhi Yu Kantan/Coal Geology and Exploration,10011986,,Journal,1907; 2103;
Mekhanika Kompozitnykh Materialov,02031272,,Journal,2507; 2215;
Mekhanizatsiya Stroitel'stva,00258903,,Journal,2210;
Melanges de l'Ecole Francaise de Rome:Antiquite,17242134,02235102 ,Journal,3302; 1213; 1202; 1205; 1204;
Melanges de l'Institut Dominicaine des Etudes Orientales du Caire,05751330,,Journal,3316; 1202; 
Melbourne University Law Review,00258938,,Journal,3308;
MELUS,0163755X,,Journal,3316; 1208;
Membrane Water Treatment,20058624,,Journal,2312; 1500; 
Membranes,20770375,,Journal,2500; 
Meme Sagligi Dergisi / Journal of Breast Health,13060945,,Journal,2730; 2724;
Memetic Computing,18659284,18659292,Journal,2606; 1700;
Memo - Magazine of European Medical Oncology,18655041,,Journal,2730; 2720;
Memoir of the Fukui Prefectural Dinosaur Museum,13475622,,Journal,1911;
Memoir of the Geological Survey of Namibia,10184325,,Journal,1901;
Memoires - Geological Society of India,04354001,,Journal,1901;
Memoires - Societe Vaudoise des Sciences Naturelles,00379611,,Journal,2300; 1900;
Memoires et Etudes Scientifiques Revue de Metallurgie,02458292,,Journal,2200;
Memoires Scientifiques de la Revue de Metallurgie,00259128,,Journal,2200;
Memoires. Academie de chirurgie (France),03688291,,Journal,2700;
"Memoirs - Hiroshima University, Faculty of Integrated Arts & Sciences, IV",,,Journal,2300; 1900;
Memoirs of the American Mathematical Society,00659266,,Journal,2600;
Memoirs of the Association of Australasian Palaeontologists,08108889,,Journal,1911;
Memoirs of the Faculty of Engineering,00786659,,Journal,2500;
"Memoirs of the Faculty of Engineering, Kobe University",03689638,,Journal,2200;
"Memoirs of the Faculty of Engineering, Kumamoto University",00235334,,Journal,2200;
"Memoirs of the Faculty of Engineering, Kyushu University",1345868X,,Journal,2100; 1405; 1902; 1900;
"Memoirs of the Faculty of Engineering, Nagoya University",00277657,,Journal,2200;
"Memoirs of the Graduate School of Engineering, Kyushu University",13449958,,Journal,2100; 1508; 1405; 1902; 1900;
Memoirs of the Queensland Museum,00798835,,Journal,1911; 2303;
Memoirs of the Queensland Museum: Cultural Heritage Series,14404788,,Journal,3316; 2309; 1202; 1206;
"Memoirs of the School of Engineering, Nagoya University",09190805,,Journal,2200;
Memoirs on Differential Equations and Mathematical Physics,15120015,,Journal,2610; 2603; 2604; 
"Memoirs, Geological Survey of Canada",00687634,,Journal,2300; 1900;
Memorias,17948886,,Journal,3302; 1202; 1204; 
Memorias do Instituto Oswaldo Cruz,00740276,16788060,Journal,2726;
Memorie - Instituto Italiano di Idrobiologia,03749118,,Journal,2300; 1900;
Memory,09658211,14640686,Journal,2700;
Memory and Cognition,0090502X,15325946,Journal,3206; 3205;
Memory Studies,17506980,,Journal,3207; 3205; 3316;
Memphis and Mid-South medical journal,,,Journal,2700;
Memphis medical journal,,,Journal,2700;
Men and Masculinities,1097184X,,Journal,1202; 3318; 3312; 1208;
Mendel,18033814,,Journal,1700; 2614; 2605; 
Mendeleev Communications,09599436,1364551X,Journal,1600;
Menopause,10723714,,Journal,2729;
Menopause international,17540453,17540461 ,Journal,2729; 
Men's Health Journal,14733021,,Journal,3306; 2700;
Mens Sana Monographs,09731229,,Journal,3306; 3200; 2700;
"Mensuration, Photogrammetries, Genie Rural",02529424,,Journal,2200;
Mental and physical disability law reporter,08837902,,Journal,2700;
"Mental disability law reporter / American Bar Association, Commission on the Mentally Disabled",01473700,,Journal,2700;
Mental Health and Physical Activity,17552966,,Journal,2738; 3202;
Mental Health and Prevention,22126570,,Journal,2739; 2738; 
Mental Health and Social Inclusion,20428316,,Journal,2921; 3306;
Mental Health and Substance Use: Dual Diagnosis,17523281,,Journal,2738; 2921;
Mental Health Aspects of Developmental Disabilities,10573291,,Journal,3203; 2738;
Mental health care,13681230,,Journal,2700;
Mental Health Reforms,13854933,,Journal,2739; 2738;
Mental Health Review Journal,13619322,20428758 ,Journal,2738;
Mental Health Services Research,15223434,15736636,Journal,2719;
"Mental health today (Brighton, England)",14745186,,Journal,2700;
"Mental Health, Religion and Culture",13674676,14699737,Journal,3203; 2738;
Mental hospitals,00965502,,Journal,2700;
Mental hygiene,00259683,,Journal,2700;
Mental Illness,20367457,20367465 ,Journal,2738; 
Mental Retardation,00476765,,Journal,3304; 2742; 3600;
Mental Retardation and Developmental Disabilities Research Reviews,10804013,10982779,Journal,2735; 2738; 3204;
Mentalhigiene es Pszichoszomatika,14198126,17863759,Journal,3206; 2738;
Mentoring and Tutoring: Partnership in Learning,13611267,14699745 ,Journal,3304; 
Mercator's World,10866728,,Journal,2200;
Mercer law review,0025987X,,Journal,2700;
Mercian Geologist,0025990X,,Journal,1909; 1907;
MeReC Briefing,10524924,,Journal,2701;
MeReC Extra,,,Journal,2736;
Meridian,10407421,,Journal,3305;
Meridian,10979778,,Journal,3305;
Merkur,00260096,,Journal,3312; 3316; 1200;
Merrill-Palmer Quarterly,0272930X,15350266,Journal,3304; 3301; 3204;
Mershon International Studies Review,10791760,,Journal,3305;
Meta,00260452,,Journal,1211
Meta,20673655,,Journal,1211; 
Meta: Avaliacao,21752753,,Journal,3304;
Metabolic and Pediatric Ophthalmology,01912771,,Journal,2700;
Metabolic Bone Disease and Related Research,02218747,,Journal,2712; 2746;
Metabolic Engineering Communications,,22140301,Journal,2204; 2712; 
Metabolic Ophthalmology,03613674,,Journal,2700;
Metabolic Ophthalmology Pediatric and Systemic,08839522,,Journal,2700;
Metabolic Syndrome and Related Disorders,15404196,,Journal,2724; 2712;
"Metabolic, Pediatric and Systemic Ophthalmology",0882889X,,Journal,2700;
Metacognition and Learning,15561623,15561631 ,Journal,3304;
Metal Constr Brit Weld J,00260541,,Journal,2200;
Metal Construction,03077896,,Journal,2200;
Metal Finishing,00260576,,Journal,2507; 2506; 2310; 2209; 2311;
Metal Physics and Advanced Technologies,10249087,,Journal,2506;
Metal Powder Report,00260657,,Journal,2211; 2500; 2210; 2203; 2202;
Metal Progress,00260665,,Journal,2200;
Metal Science,03063453,,Journal,2200;
Metal Science and Heat Treatment,00260673,15738973,Journal,2211; 2506; 3104;
Metal Science J,00260681,,Journal,2200;
Metall,00260746,,Journal,2505; 2211; 2506; 3104;
Metallofizika i Noveishie Tekhnologii,10241809,,Journal,2506; 2504; 2600; 3104;
Metallography,00260800,,Journal,2200;
"Metallography, Microstructure, and Analysis",21929262,21929270 ,Journal,2506; 
Metallovedenie i Termicheskaya Obrabotka Metallov,00260819,,Journal,2506; 2210;
Metallurgia,01418602,,Journal,2506;
Metallurgia and Metal Forming ,0368945X,,Journal,2200;
Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,10735623,,Journal,2211; 2506; 3104;
Metallurgical and Materials Transactions B: Process Metallurgy and Materials Processing Science,10735615,,Journal,2505; 2211; 2506; 3104;
Metallurgical and Mining Industry,20760507,20788312 ,Journal,1901; 2208; 2209; 2506; 2210;
Metallurgical Research and Technology,22713646,22713654 ,Journal,2211; 2206; 2505; 2506; 
Metallurgical Review of MMIJ (Mining and Metallurgical Institute of Japan),02896214,,Journal,2506;
Metallurgical Transactions A (Physical Metallurgy and Materials Science),03602133,,Journal,2200;
Metallurgical Transactions B (Process Metallurgy),03602141,,Journal,2200;
Metallurgicheskaya i Gornorudnaya Promyshlennost,05435749,16066294,Journal,1909;
Metallurgist,00260894,15738892,Journal,2505; 2211; 2506; 3104;
Metallurgist and Materials Technologist,0306526X,,Journal,2200;
Metally,08695733,,Journal,2506;
Metals,,20754701,Journal,2500; 
Metals and Materials (Institute of Metals),12259438,,Journal,2200;
Metals and materials Bury St Edmunds,02667185,,Journal,2200;
Metals and Materials International,15989623,,Journal,2505; 2211; 2506; 3104;
Metals Forum,01607952,,Journal,2200;
Metals Materials and Processes,0970423X,,Journal,2200;
Metals Technology,03071693,,Journal,2200;
"Metalurgia, ABM (Associacao Brasileira de Metais)",00260983,,Journal,2200;
Metalurgija,05435846,,Journal,2505; 2211; 2506; 3104;
Metalworking Production,00261033,,Journal,2210;
Metamaterials,18731988,,Journal,2502; 2611; 3110; 2504; 2208; 3104;
Metamedicine,01662031,,Journal,3301; 2739;
Metaphilosophy,00261068,14679973,Journal,1211;
Metaphor and Symbol,10926488,15327868 ,Journal,3315; 3310; 3205;
Metaphor and the Social World,22104070,22104097,Journal,3310; 1203; 
Metaphysica,14372053,,Journal,1211; 
Metascience,08150796,14679981,Journal,1207; 1202; 3300;
Meteoritics,00261114,,Journal,2300; 1900;
Meteoritics and Planetary Science,10869379,,Journal,1908; 1912;
Meteorological Applications,13504827,14698080,Journal,1902;
Meteorologische Rundschau,00261211,,Journal,2700;
Meteorologische Zeitschrift,09412948,,Journal,1902;
Meteorologiya i Gidrologiya,01302906,,Journal,2312; 1910; 1902;
Meteorology and Atmospheric Physics,01777971,14365065,Journal,1902;
Method and Theory in the Study of Religion,09433058,,Journal,1212;
Methodist DeBakey cardiovascular journal,19476094,19476108,Journal,2700;
Methodology,16141881,16142241 ,Journal,3200; 3300;
Methodology and Computing in Applied Probability,13875841,,Journal,2613; 2600;
Methods and Applications in Fluorescence,,20506120,Journal,3105; 1607; 2500; 3107; 
Methods in molecular medicine,15431894,,Journal,2700;
Methods of Information in Medicine,00261270,,Journal,2718; 3605; 2902;
Metiers de la Petite Enfance,1258780X,,Journal,2920; 3204;
Metodoloski Zvezki,18540023,18540031 ,Journal,2613; 3301;
Metrika,00261335,1435926X,Journal,2613; 1804;
Metroeconomica,00261386,1467999X ,Journal,2002; 
Metrologia,00261394,,Journal,2200;
Metrology and Measuring Systems,08608229,,Journal,3105; 2207;
Metron,00261424,,Journal,2613;
Metropolitan Museum of Art Bulletin,00261521,,Journal,1213; 1209;
Metszet,20612710,,Journal,2216; 3322; 1213; 1206; 
METU Journal of the Faculty of Architecture,02585316,,Journal,2216; 1200;
Mexican Studies/Estudios Mexicanos,07429797,,Journal,1202; 3316;
Meyniana,00767689,,Journal,2300; 1900;
Mezinarodni vztahy,03231844,,Journal,3320; 
Mezzogiorno d'Europa,03929566,,Journal,2300; 1900;
MFS - Modern Fiction Studies,00267724,,Journal,1208;
MGMA connexion / Medical group Management Association,15370240,,Journal,2700;
MH,00906670,,Journal,2700;
Michigan Academician,00262005,,Journal,2700;
Michigan Botanist,0026203X,,Journal,2300; 1900;
Michigan health & hospitals,,,Journal,2700;
Michigan Historical Review,03601846,,Journal,1202;
Michigan hospitals,0026220X,,Journal,2700;
Michigan Law Review,00262234,,Journal,3308;
Michigan Mathematical Journal,00262285,,Journal,2600;
Michigan medicine,00262293,,Journal,2700;
Michigan Quarterly Review,00262420,15587266 ,Journal,1208;
MICRO,10810595,,Journal,2500; 2504; 2208; 3104;
Micro and Nano Letters,17500443,,Journal,2204; 1502; 2500; 3104;
Micro and Nanosystems,18764029,18764037 ,Journal,2215;
Microbia,03970906,,Journal,2700;
Microbiologia Medica,11200146,,Journal,2726;
Microchemical Journal,0026265X,,Journal,1607; 1602;
Microcomputer Applications,08200750,,Journal,1700;
Microcomputers for Information Management,07422342,,Journal,2200;
Microcomputers in Civil Engineering,08859507,,Journal,2200; 1700;
Microcontamination,0738713X,,Journal,2200;
Microelectronic Engineering,01679317,,Journal,2508; 3107; 2504; 2208; 3104;
Microelectronics,00262692,,Journal,2200;
Microelectronics and Reliability,00262714,,Journal,2508; 3107; 2504; 2208; 2213; 3104;
Microelectronics International,13565362,,Journal,2508; 3107; 2504; 2208; 3104;
Microelectronics Journal,09598324,,Journal,2508; 3107; 2504; 2208; 3104;
Microfluidics and Nanofluidics,16134982,16134990,Journal,2505; 2504; 3104;
Microform and Digitization Review,21900752,,Journal,3309; 
Microgravity quarterly : MGQ,09585036,,Journal,2700;
Microgravity Science and Technology,09380108,,Journal,3100; 2611; 2604; 2200;
Micromachines,2072666X,,Journal,2207; 2208; 2210; 
Micron and Microscopica Acta,07396260,,Journal,2702;
Micropaleontology,00262803,,Journal,1911;
Microporous and Mesoporous Materials,13871811,,Journal,2211; 2500; 1600; 3104;
Microporous Materials,09276513,,Journal,2200;
Microprocessing and Microprogramming,01656074,,Journal,2200;
Microprocessors,03085953,,Journal,2200;
Microprocessors and Microsystems,01419331,,Journal,1702; 1708; 1712; 1705;
"MicroRNA (Shāriqah, United Arab Emirates)",22115366,22115374,Journal,2700; 
Microscale Thermophysical Engineering,10893954,,Journal,2211; 2500; 3107; 3104;
Microscopica Acta,0044376X,,Journal,2700;
"Microscopy (Oxford, England)",20505698,20505701 ,Journal,2700; 
Microscopy and Microanalysis,14319276,14358115,Journal,3105;
Microscopy Microanalysis Microstructures,11542799,,Journal,3105;
Microscopy Research and Technique,1059910X,,Journal,2702; 3105; 3607; 2722;
Microsurgery,07381085,10982752,Journal,2746;
Microsystem Technologies,09467076,,Journal,1708; 2504; 2208; 3104;
Microwave and Optical Technology Letters,08952477,10982760,Journal,2504; 3107; 2208; 3104;
Microwave Journal,01926225,,Journal,2208;
Microwave Review,14505835,,Journal,3308; 2208; 
Microwaves,00262919,,Journal,2200;
Microwaves and RF,07452993,,Journal,1705; 2208;
Middle East African Journal of Ophthalmology,09749233,09751599 ,Journal,2731; 
Middle East Business and Economic Review,10353704,,Journal,1400; 2002;
Middle East Critique,19436149,19436157 ,Journal,3316; 1202; 3320; 
Middle East Current Psychiatry,20905408,,Journal,2738;
Middle East Economic Survey,05440424,,Journal,2000;
Middle East Fertility Society Journal,11105690,,Journal,2729;
Middle East Journal of Anesthesiology,05440440,,Journal,2703;
Middle East Journal of Culture and Communication,18739857,,Journal,3315; 3320; 3312; 3316;
Middle East Journal of Emergency Medicine,17296455,,Journal,2711;
Middle East Law and Governance,18763367,18763375 ,Journal,3312; 3308;
Middle East Paediatrics,13685937,,Journal,2735;
Middle East Policy,10611924,14754967,Journal,3320; 3312;
Middle East Quarterly,10739467,,Journal,1401; 3320;
Middle East Report,08992851,,Journal,3303; 3320; 3305;
Middle East Studies Association Bulletin,00263184,,Journal,3316;
Middle Eastern Literatures,1475262X,,Journal,1208;
Middle Eastern Studies,00263206,,Journal,3312; 3305;
Midland History,0047729X,,Journal,1200;
Mid-Taiwan Journal of Medicine,10293507,,Journal,2700;
Midwest Studies in Philosophy,03636550,,Journal,1211;
Midwife and health visitor,00263516,,Journal,2700;
"Midwife, health visitor & community nurse",03069699,,Journal,2700;
Midwifery,02666138,,Journal,2913; 2729;
Midwifery today and childbirth education,15222888,,Journal,2700;
Midwifery today with international midwife,15518892,,Journal,2700;
Midwives : official journal of the Royal College of Midwives,13558404,,Journal,2700;
Midwives chronicle,00263524,,Journal,2700;
Mie Medical Journal,00263532,,Journal,2700;
Migraciones,11385774,,Journal,3316; 3317; 
Migraciones Internacionales,16658906,,Journal,3317; 3305;
Migration Letters,17418984,17418992 ,Journal,1905; 3317;
Migration World,10585095,,Journal,3317; 3305;
Mikrobiologicheskii Zhurnal,02018462,,Journal,2726;
Mikrobiolohichnyi zhurnal,00263664,,Journal,2700;
"Mikrobiolohichnyi zhurnal (Kiev, Ukraine : 1993)",10280987,,Journal,2700;
Mikrochimica Acta,00263672,14365073,Journal,1602;
Mikrochimica et ichnoanalytica acta,03690504,,Journal,2700;
Milan Journal of Mathematics,14249286,,Journal,2600;
"Milbank Memorial Fund Quarterly, Health and Society",01601997,,Journal,2719;
Milbank Quarterly,0887378X,14680009,Journal,2739; 2719;
Militargeschichtliche Zeitshrift,00263826,,Journal,1202;
Military Law Review,00264040,,Journal,3308;
Military Medicine,00264075,,Journal,2739; 2700;
Military Operations Research,02755823,,Journal,2201;
Military Psychology,08995605,15327876,Journal,3301; 3200; 3205;
Millennium Film Journal,10645586,,Journal,1213;
Millennium: Journal of International Studies,03058298,,Journal,3320; 3312;
Milli Egitim,13025600,,Journal,3304;
Milli Folklor,13003984,,Journal,3200; 1200;
Milton Quarterly,00264326,1094348X ,Journal,1208;
Milton Studies,00768820,,Journal,1208;
Mind,00264423,14602113 ,Journal,1211;
Mind and Language,02681064,14680017,Journal,3310; 1203; 1211;
Mind and Society,15937879,,Journal,3312; 3316;
Mindfulness,18688527,18688535,Journal,3207; 3205; 3306; 3204; 3202;
Minds and Machines,09246495,15728641,Journal,1702; 1211;
Mine and Quarry,03691632,,Journal,1909;
Mine Water and the Environment,10259112,16161068,Journal,1909; 2312;
Mineral and Energy Resources,01926179,,Journal,2200;
Mineral Processing and Extractive Metallurgy Review,08827508,15477401,Journal,1909; 1905; 1600; 2210;
Mineral Resources Engineering,09506098,,Journal,1909;
Mineralium Deposita,00264598,14321866,Journal,1906; 1908;
Mineralogia,18998291,18998526,Journal,1906; 1907;
Mineralogia Polonica,00326267,,Journal,1906;
Mineralogica et Petrographica Acta,03658066,,Journal,1906;
"Mineralogica et Petrographica Acta, Bologna",05401437,,Journal,2300; 1900;
Mineralogical Journal,05442540,,Journal,2300; 1900;
Mineralogical Magazine,0026461X,,Journal,1906;
Mineralogical Record,00264628,,Journal,1906;
Mineralogical Society Bulletin,02639513,,Journal,1906;
Mineralogy and Petrology,09300708,14381168,Journal,1906; 1908;
Minerals,,2075163X,Journal,1907; 1909; 
Minerals and Energy - Raw Materials Report,14041049,16512286,Journal,1905; 3305;
Minerals and Metallurgical Processing,07479182,,Journal,1909; 2505; 2506; 1600; 2210; 2207;
Minerals and the Environment,01427245,,Journal,2700;
Minerals Engineering,08926875,,Journal,1909; 1600; 2210; 2207;
Mineria y Geologia,02585979,,Journal,1900;
Minerva,00264695,15731871,Journal,3304; 3301; 3300;
Minerva Anestesiologica,03759393,,Journal,2703;
Minerva Cardioangiologica,00264725,,Journal,2705;
Minerva Chirurgica,00264733,,Journal,2746;
Minerva dermatologica,00264741,,Journal,2700;
Minerva Dietologica,0026475X,,Journal,2700;
Minerva Dietologica e Gastroenterologica,03911993,,Journal,2715;
Minerva Endocrinologica,03911977,,Journal,2700;
Minerva fisiconucleare,00264768,,Journal,2700;
Minerva fisioterapica e radiobiologica,03689719,,Journal,2700;
Minerva Gastroenterologica,00264776,,Journal,2700;
Minerva Gastroenterologica e Dietologica,1121421X,,Journal,2700;
Minerva Ginecologica,00264784,,Journal,2729;
Minerva Medicolegale,00264806,,Journal,2700;
Minerva Medicolegale e Archivio di Antropologia Criminale,00264849,18271677 ,Journal,2700;
Minerva Nefrologica,00264873,,Journal,2700;
Minerva nucleare,03690288,,Journal,2700;
Minerva Ortopedica,00264911,,Journal,2746;
Minerva Ortopedica e Traumatologica,03943410,18271707,Journal,2732; 2746;
Minerva Pediatrica,00264946,18271715,Journal,2735;
Minerva Pneumologica,00264954,,Journal,2740;
Minerva Psichiatrica,03911772,,Journal,2738;
Minerva Psichiatrica e Psicologica,03749320,,Journal,2738;
Minerva radiologica,00264962,,Journal,2700;
"Minerva radiologica, fisioterapica e radiobiologica",05442656,,Journal,2700;
Minerva Stomatologica,00264970,,Journal,2700;
Minerva Urologica,00264989,,Journal,2700;
Minerva Urologica e Nefrologica,03932249,,Journal,2727; 2748;
Mines & carrieres. Les techniques,09995714,,Journal,2200;
Ming studies,0147037X,17597595 ,Journal,3316; 1202; 
Minimal Invasive Chirurgie,0941455X,,Journal,2746;
Minimally Invasive Neurosurgery,09467211,14392291,Journal,2728; 2746;
Minimally Invasive Surgery,20901445,20901453 ,Journal,2746; 
Minimally invasive surgical nursing,10685685,,Journal,2700;
Minimally Invasive Therapy,0961625X,,Journal,2741; 2746;
Minimally Invasive Therapy and Allied Technologies,13645706,13652931,Journal,2746;
